Rank,Grade,Channel name,Video Uploads,Subscribers,Video views,AVERGE VIEW
710,3,SamsungIndia,183,1852869,1398222403,7640559.579234973
711,3,Two Players One Console,1209,1147779,596446534,493338.7377998346
712,3,Discovery Kids,417,1017733,392018272,940091.7793764988
713,3,Chim Xinh Channel,1231,842216,342871421,278530.8050365556
714,3,Surya Citra Televisi (SCTV),16012,2265698,1304621636,81477.74394204347
715,3,OfficialWhiteMusic,501,2361915,1846665320,3685958.7225548904
716,3,truTV,4226,1696481,1886195776,446331.22953147185
717,3,BIBI TV,346,1391175,914486119,2643023.465317919
718,3,RCM Bhojpuri Hit,2991,2060000,607273422,203033.5747241725
719,3,THVL Phim,7836,1482849,1428617313,182314.61370597244
720,3,América Televisión - Novelas,3542,773094,436156663,123138.52710333145
721,3,DJKhaledVEVO,42,5367633,2727661186,64944313.952380955
722,3,TMG Record Channel,254,3317911,2030131582,7992644.023622047
723,3,DC Kids,648,1153818,878464874,1355655.6697530865
725,3,PostMaloneVEVO,13,4164551,2024331185,155717783.46153846
726,3,JonasBlueVEVO,49,2206912,1560407218,31845045.265306123
727,3,Samsung Vietnam,553,1288522,918334115,1660640.3526220615
729,3,Talking Angela,107,4961738,878628083,8211477.411214953
730,3,Denis,1602,6115299,2336892887,1458734.6360799002
731,3,Jass Records,1396,2710189,916060445,656203.7571633238
732,3,Tube Unique Wilderness,26,586128,81053798,3117453.769230769
733,3,Alhayah Series TV,5850,2155817,1279950826,218795.012991453
734,3,Chespirito y sus Amigos,772,712690,305875204,396211.40414507774
736,3,DaniRep | +6 Vídeos Diarios De GTA…,8122,7848629,3903578370,480617.8736764344
737,3,Mê Phim,587,514604,130874314,222954.53833049405
738,3,Zee Music Classic,716,2666131,993667870,1387804.2877094971
739,3,เด็กเลี้ยงควาย…,11,685377,137608382,12509852.909090908
740,3,SilvestreDangondVEVO,151,1780205,1540413929,10201416.748344371
741,3,tvnpl,6080,1317821,1996632685,328393.5337171053
742,3,Albin Lekhove.,3,112489,39579875,13193291.666666666
743,3,Satisfy Channel,238,1018694,328815940,1381579.5798319327
744,3,Dave and Ava - Nursery Rhymes and…,368,4345980,2617861225,7113753.328804348
745,3,Life with Brothers,496,2702258,856349812,1726511.7177419355
747,3,LIFE VÍDEOS E FOTOS,11,330998,140120586,12738235.090909092
748,3,Aoffy Maxim,302,2570105,684720152,2267285.271523179
749,3,Queen Official,728,5161031,3117908234,4282840.980769231
751,3,핑크퐁 (인기 동요・동화),1082,2125228,1595352760,1474448.022181146
752,3,BB Ki Vines,126,9775694,1258536015,9988381.07142857
754,3,스위트티비 SweetTV,826,956403,409922913,496274.7130750605
755,3,Pen Multiplex,904,1802887,587351007,649724.5652654867
756,3,Маша та Ведмідь,439,3209563,1664222907,3790940.562642369
757,3,Vy Qwaint,127,1434946,171654347,1351609.031496063
758,3,PrinceRoyceVEVO,92,6064512,2846915380,30944732.391304348
759,3,GEazyMusicVEVO,107,4052452,2297039672,21467660.485981308
760,3,ZEE 24 TAAS,118696,1782463,936716854,7891.730589067871
761,3,اغاني مشهورة Music…,60,523596,136234820,2270580.3333333335
762,3,Neo-Saban Power Rangers,3254,3549927,3847340302,1182341.8260602336
763,3,Познаватель,281,7903277,2458786199,8750128.822064057
764,3,MovieCon Animation,824,2042918,900842320,1093255.2427184465
765,3,C.A.F - Children And Families,213,1882631,607538170,2852291.8779342724
